channel_set,g,metric_name,metric_value,model_family,run_id,stride,ticket_stage,track,view_mode,window_size
,25,acc@1,55.57768924302788,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,diff,100
,25,acc@5,87.05179282868527,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,diff,100
,25,macro_precision,62.95651379916596,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,diff,100
,25,macro_recall,55.527272727272724,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,diff,100
,25,macro_f1,53.893721758511084,cnn,f1_cnn_cls_w100_g25-20260401-030915-420a9ae4,50,t08,exact-upstream,diff,100
all12,25,acc@1,67.13147410358566,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,m01,moonshot-enhanced-setting,diff_all12,100
all12,25,acc@5,94.62151394422311,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,m01,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_precision,71.08046588774143,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,m01,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_recall,66.88888888888889,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,m01,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_f1,66.17478151382247,cnn,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,50,m01,moonshot-enhanced-setting,diff_all12,100
all12,25,acc@1,68.52589641434263,cnn,m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98,50,m01b,moonshot-enhanced-setting,diff_all12,100
all12,25,acc@5,92.62948207171314,cnn,m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98,50,m01b,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_precision,69.78066173592488,cnn,m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98,50,m01b,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_recall,68.66262626262626,cnn,m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98,50,m01b,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_f1,67.11099856295442,cnn,m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98,50,m01b,moonshot-enhanced-setting,diff_all12,100
all12,25,acc@1,1.1952191235059761,cnn,m01b_cnn_all12_diff_fileagg_shuffled-20260401-210055-6e21476b,50,m01b,moonshot-enhanced-setting,diff_all12,100
all12,25,acc@5,8.565737051792828,cnn,m01b_cnn_all12_diff_fileagg_shuffled-20260401-210055-6e21476b,50,m01b,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_precision,1.072494796312816,cnn,m01b_cnn_all12_diff_fileagg_shuffled-20260401-210055-6e21476b,50,m01b,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_recall,1.0888888888888888,cnn,m01b_cnn_all12_diff_fileagg_shuffled-20260401-210055-6e21476b,50,m01b,moonshot-enhanced-setting,diff_all12,100
all12,25,macro_f1,0.8008281573498967,cnn,m01b_cnn_all12_diff_fileagg_shuffled-20260401-210055-6e21476b,50,m01b,moonshot-enhanced-setting,diff_all12,100
benchmark6,25,acc@1,59.16334661354582,cnn,m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7,50,m01b,moonshot-enhanced-setting,diff_benchmark6,100
benchmark6,25,acc@5,89.64143426294821,cnn,m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7,50,m01b,moonshot-enhanced-setting,diff_benchmark6,100
benchmark6,25,macro_precision,67.10053924570055,cnn,m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7,50,m01b,moonshot-enhanced-setting,diff_benchmark6,100
benchmark6,25,macro_recall,59.04444444444443,cnn,m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7,50,m01b,moonshot-enhanced-setting,diff_benchmark6,100
benchmark6,25,macro_f1,58.29808280885091,cnn,m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7,50,m01b,moonshot-enhanced-setting,diff_benchmark6,100
extra6,25,acc@1,42.03187250996016,cnn,m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854,50,m01b,moonshot-enhanced-setting,diff_extra6,100
extra6,25,acc@5,79.4820717131474,cnn,m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854,50,m01b,moonshot-enhanced-setting,diff_extra6,100
extra6,25,macro_precision,39.938443836864884,cnn,m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854,50,m01b,moonshot-enhanced-setting,diff_extra6,100
extra6,25,macro_recall,42.15151515151515,cnn,m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854,50,m01b,moonshot-enhanced-setting,diff_extra6,100
