epoch,learning_rate,train_loss,train_acc@1,validation_window_acc@1,validation_window_f1,validation_file_acc@1,validation_file_f1,is_best
1,0.003,4.0354738564735255,1.3412816691505216,3.6072144288577155,0.8323762480635245,6.0,2.7301587301587302,true
2,0.002999503121214558,3.94768082580339,2.235469448584203,4.008016032064128,1.882094653122293,6.0,1.9523809523809523,false
3,0.0029980128253941324,3.910998743799156,2.930948832588177,2.404809619238477,2.075156987778347,4.0,3.0,false
4,0.002995530133913036,3.888614337004895,2.831594634873323,2.004008016032064,1.719047619047619,2.0,1.3333333333333333,false
5,0.0029920567482839967,3.872387414066222,3.1296572280178836,3.807615230460922,1.4936634418111692,4.0,1.1428571428571428,false
6,0.0029875950489920257,3.8519393189653375,3.974167908594138,1.402805611222445,0.6074796925257591,2.0,0.4444444444444444,false
7,0.0029821480938629504,3.8400265196929566,4.0735221063089915,2.004008016032064,0.907748538011696,6.0,3.6666666666666665,false
8,0.0029757196159677347,3.812262807150593,4.769001490312966,3.006012024048096,1.4855797101449277,6.0,3.9047619047619038,false
9,0.0029683140210640183,3.8024902340196816,4.669647292598112,4.008016032064128,2.6592338593140443,4.0,2.4444444444444446,false
10,0.0029599363845766308,3.775342086743669,5.315449577744659,4.008016032064128,2.413574660633484,4.0,1.0158730158730158,false
11,0.0029505924481191487,3.7466975344512456,5.663189269746646,2.404809619238477,1.9378144078144077,4.0,4.0,false
12,0.0029402886155588796,3.7391031243229054,5.265772478887233,3.6072144288577155,2.297211018700046,8.0,4.235294117647059,true
13,0.0029290319486279725,3.7170965208441125,6.358668653750621,2.6052104208416833,1.6446546812064053,6.0,3.2380952380952377,false
14,0.0029168301620836586,3.691678428555151,7.3522106308991555,2.404809619238477,1.414604462474645,4.0,3.0,false
15,0.002903691618420942,3.6634180340906664,7.302533532041728,2.2044088176352705,1.4791177334916985,2.0,0.26666666666666666,false
16,0.0028896253221413655,3.637295632829017,8.19672131147541,2.2044088176352705,1.7240404040404043,2.0,2.0,false
