aggregator,channel_set,file_acc@1,file_acc@5,file_confusion_matrix_path,file_macro_f1,file_macro_precision,file_macro_recall,file_per_category_accuracy_path,file_predictions_path,file_summary_metrics_path,g,model_family,run_id,stride,track,view_mode,window_acc@1,window_acc@5,window_macro_f1,window_size
mean_logits,all12,80.0,100.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e/file_level/mean_logits/confusion_matrix.csv,73.66666666666666,70.66666666666666,80.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e/file_level/mean_logits/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e/file_level/mean_logits/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e/file_level/mean_logits/summary_metrics.json,25,deep_temporal_resnet,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e,50,moonshot-enhanced-setting,diff_all12,58.56573705179283,89.64143426294821,56.90438338178869,100
mean_probabilities,all12,78.0,98.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e/file_level/mean_probabilities/confusion_matrix.csv,72.33333333333333,69.66666666666666,78.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e/file_level/mean_probabilities/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e/file_level/mean_probabilities/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e/file_level/mean_probabilities/summary_metrics.json,25,deep_temporal_resnet,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e,50,moonshot-enhanced-setting,diff_all12,58.56573705179283,89.64143426294821,56.90438338178869,100
majority_vote,all12,74.0,94.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e/file_level/majority_vote/confusion_matrix.csv,67.99999999999999,65.33333333333333,74.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e/file_level/majority_vote/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e/file_level/majority_vote/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e/file_level/majority_vote/summary_metrics.json,25,deep_temporal_resnet,m04_deep_temporal_resnet_all12_diff_seed7-20260403-195139-195dcd5e,50,moonshot-enhanced-setting,diff_all12,58.56573705179283,89.64143426294821,56.90438338178869,100
