aggregator,channel_set,file_acc@1,file_acc@5,file_confusion_matrix_path,file_macro_f1,file_macro_precision,file_macro_recall,file_per_category_accuracy_path,file_predictions_path,file_summary_metrics_path,g,model_family,run_id,stride,track,view_mode,window_acc@1,window_acc@5,window_macro_f1,window_size
mean_logits,all12,86.0,100.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727/file_level/mean_logits/confusion_matrix.csv,82.66666666666666,81.0,86.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727/file_level/mean_logits/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727/file_level/mean_logits/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727/file_level/mean_logits/summary_metrics.json,25,patch_transformer,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727,50,moonshot-enhanced-setting,diff_all12,62.74900398406375,88.84462151394422,61.037123351713475,100
mean_probabilities,all12,82.0,98.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727/file_level/mean_probabilities/confusion_matrix.csv,77.33333333333333,75.0,82.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727/file_level/mean_probabilities/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727/file_level/mean_probabilities/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727/file_level/mean_probabilities/summary_metrics.json,25,patch_transformer,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727,50,moonshot-enhanced-setting,diff_all12,62.74900398406375,88.84462151394422,61.037123351713475,100
majority_vote,all12,80.0,98.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727/file_level/majority_vote/confusion_matrix.csv,75.33333333333333,73.0,80.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727/file_level/majority_vote/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727/file_level/majority_vote/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727/file_level/majority_vote/summary_metrics.json,25,patch_transformer,m04_patch_transformer_all12_diff_seed19-20260403-200315-19279727,50,moonshot-enhanced-setting,diff_all12,62.74900398406375,88.84462151394422,61.037123351713475,100
