best_file_acc@1,best_file_acc@5,best_file_aggregator,best_file_macro_f1,label,run_id,window_acc@1,window_acc@5,window_macro_f1
82.0,98.0,mean_probabilities,78.0,all12,m01_cnn_all12_diff_fileagg-20260401-180808-e777df14,67.13147410358566,94.62151394422311,66.17478151382247
80.0,98.0,mean_probabilities,75.8,benchmark6,m01b_cnn_benchmark6_diff_fileagg-20260401-210146-bb7eb6f7,59.16334661354582,89.64143426294821,58.29808280885091
52.0,76.0,majority_vote,45.4969696969697,extra6,m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854,42.03187250996016,79.4820717131474,38.23093231556686
88.0,98.0,mean_logits,83.99999999999999,all12,m01b_cnn_all12_diff_fileagg_seed2-20260401-210324-af56ce98,68.52589641434263,92.62948207171314,67.11099856295442
