channel_count,channel_set,file_acc@1,file_acc@1_ci_lower,file_acc@1_ci_upper,file_acc@5,file_macro_f1,n_files,protocol_id
6,benchmark6,78.00,66.00,88.00,94.00,73.47,50,m05b
reference,reference,88.00,78.00,96.00,100.00,84.67,50,m05_all12
