category,n,acc@1,acc@5
nuts,113,35.39823008849557,65.48672566371681
spices,104,29.807692307692307,71.15384615384616
herbs,107,17.75700934579439,56.074766355140184
fruits,105,33.33333333333333,55.23809523809524
vegetables,102,24.509803921568626,61.76470588235294
