category,n,acc@1,acc@5
nuts,107,54.20560747663551,90.65420560747664
spices,98,65.3061224489796,90.81632653061224
herbs,98,37.755102040816325,74.48979591836735
fruits,99,57.57575757575758,93.93939393939394
vegetables,100,42.0,89.0
