category,n,acc@1,acc@5
nuts,107,62.616822429906534,94.39252336448598
spices,98,70.40816326530613,97.95918367346938
herbs,98,63.26530612244898,87.75510204081633
fruits,99,86.86868686868688,98.98989898989899
vegetables,100,67.0,95.0
