aggregator,channel_set,file_acc@1,file_acc@5,file_confusion_matrix_path,file_macro_f1,file_macro_precision,file_macro_recall,file_per_category_accuracy_path,file_predictions_path,file_summary_metrics_path,g,model_family,run_id,stride,track,view_mode,window_acc@1,window_acc@5,window_macro_f1,window_size
mean_logits,all12,84.0,98.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4/file_level/mean_logits/confusion_matrix.csv,79.33333333333333,77.0,84.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4/file_level/mean_logits/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4/file_level/mean_logits/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4/file_level/mean_logits/summary_metrics.json,25,cnn,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4,50,moonshot-enhanced-setting,diff_all12,69.9203187250996,94.82071713147411,68.6856560609203,100
mean_probabilities,all12,86.0,98.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4/file_level/mean_probabilities/confusion_matrix.csv,81.99999999999999,80.0,86.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4/file_level/mean_probabilities/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4/file_level/mean_probabilities/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4/file_level/mean_probabilities/summary_metrics.json,25,cnn,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4,50,moonshot-enhanced-setting,diff_all12,69.9203187250996,94.82071713147411,68.6856560609203,100
majority_vote,all12,84.0,96.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4/file_level/majority_vote/confusion_matrix.csv,78.99999999999999,76.66666666666666,84.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4/file_level/majority_vote/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4/file_level/majority_vote/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4/file_level/majority_vote/summary_metrics.json,25,cnn,m04_cnn_all12_diff_locked_seed202-20260403-190212-7d7286a4,50,moonshot-enhanced-setting,diff_all12,69.9203187250996,94.82071713147411,68.6856560609203,100
