aggregator,channel_set,file_acc@1,file_acc@5,file_confusion_matrix_path,file_macro_f1,file_macro_precision,file_macro_recall,file_per_category_accuracy_path,file_predictions_path,file_summary_metrics_path,g,model_family,run_id,stride,track,view_mode,window_acc@1,window_acc@5,window_macro_f1,window_size
mean_logits,all12,64.0,96.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_hinception_all12_diff_seed17-20260403-193359-4a17a751/file_level/mean_logits/confusion_matrix.csv,56.666666666666664,53.333333333333336,64.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_hinception_all12_diff_seed17-20260403-193359-4a17a751/file_level/mean_logits/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_hinception_all12_diff_seed17-20260403-193359-4a17a751/file_level/mean_logits/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_hinception_all12_diff_seed17-20260403-193359-4a17a751/file_level/mean_logits/summary_metrics.json,25,hinception,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751,50,moonshot-enhanced-setting,diff_all12,41.03585657370518,83.66533864541833,38.76914040415627,100
mean_probabilities,all12,60.0,98.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_hinception_all12_diff_seed17-20260403-193359-4a17a751/file_level/mean_probabilities/confusion_matrix.csv,52.33333333333333,49.0,60.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_hinception_all12_diff_seed17-20260403-193359-4a17a751/file_level/mean_probabilities/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_hinception_all12_diff_seed17-20260403-193359-4a17a751/file_level/mean_probabilities/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_hinception_all12_diff_seed17-20260403-193359-4a17a751/file_level/mean_probabilities/summary_metrics.json,25,hinception,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751,50,moonshot-enhanced-setting,diff_all12,41.03585657370518,83.66533864541833,38.76914040415627,100
majority_vote,all12,54.0,86.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_hinception_all12_diff_seed17-20260403-193359-4a17a751/file_level/majority_vote/confusion_matrix.csv,46.33333333333333,43.0,54.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_hinception_all12_diff_seed17-20260403-193359-4a17a751/file_level/majority_vote/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_hinception_all12_diff_seed17-20260403-193359-4a17a751/file_level/majority_vote/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m04_hinception_all12_diff_seed17-20260403-193359-4a17a751/file_level/majority_vote/summary_metrics.json,25,hinception,m04_hinception_all12_diff_seed17-20260403-193359-4a17a751,50,moonshot-enhanced-setting,diff_all12,41.03585657370518,83.66533864541833,38.76914040415627,100
