category,n,acc@1,acc@5
nuts,107,37.38317757009346,76.63551401869158
spices,98,41.83673469387755,81.63265306122449
herbs,98,29.591836734693878,80.61224489795919
fruits,99,62.62626262626263,93.93939393939394
vegetables,100,34.0,86.0
