category,n,acc@1,acc@5
nuts,107,59.813084112149525,95.32710280373831
spices,98,78.57142857142857,95.91836734693877
herbs,98,51.02040816326531,78.57142857142857
fruits,99,85.85858585858585,97.97979797979798
vegetables,100,68.0,95.0
