aggregator,channel_set,file_acc@1,file_acc@5,file_confusion_matrix_path,file_macro_f1,file_macro_precision,file_macro_recall,file_per_category_accuracy_path,file_predictions_path,file_summary_metrics_path,g,model_family,run_id,stride,track,view_mode,window_acc@1,window_acc@5,window_macro_f1,window_size
mean_logits,all12,88.0,98.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738/file_level/mean_logits/confusion_matrix.csv,83.99999999999999,82.0,88.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738/file_level/mean_logits/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738/file_level/mean_logits/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738/file_level/mean_logits/summary_metrics.json,25,cnn,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,50,moonshot-enhanced-setting,diff_all12,68.52589641434263,92.62948207171314,67.11099856295442,100
mean_probabilities,all12,88.0,98.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738/file_level/mean_probabilities/confusion_matrix.csv,85.33333333333333,84.0,88.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738/file_level/mean_probabilities/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738/file_level/mean_probabilities/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738/file_level/mean_probabilities/summary_metrics.json,25,cnn,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,50,moonshot-enhanced-setting,diff_all12,68.52589641434263,92.62948207171314,67.11099856295442,100
majority_vote,all12,84.0,96.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738/file_level/majority_vote/confusion_matrix.csv,80.33333333333333,78.66666666666667,84.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738/file_level/majority_vote/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738/file_level/majority_vote/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738/file_level/majority_vote/summary_metrics.json,25,cnn,m01c_cnn_all12_diff_locked_seed7-20260402-014020-d8e02738,50,moonshot-enhanced-setting,diff_all12,68.52589641434263,92.62948207171314,67.11099856295442,100
