epoch,train_loss,train_acc@1
1,3.65337343276686,4.81687898089172
2,2.98578555416909,11.94267515923567
3,2.5117644990325734,18.113057324840764
4,2.0988671749260774,28.980891719745223
5,1.9151720636209864,33.638535031847134
6,1.7404655240903235,38.853503184713375
7,1.6215624718149757,43.789808917197455
8,1.4973109899812442,46.695859872611464
9,1.34460667060439,52.468152866242036
10,1.2849294417982648,55.095541401273884
11,1.1917532538152804,58.160828025477706
12,1.1280810096461302,60.62898089171974
13,1.0900244439483449,62.34076433121019
14,1.0041598863662429,63.37579617834395
15,0.9592503077664952,65.60509554140127
16,0.8885401961909738,67.7547770700637
17,0.8017759490164982,71.37738853503184
18,0.7937549337459977,71.57643312101911
19,0.7846798232406568,72.17356687898089
20,0.7210901835162169,75.43789808917198
21,0.6673952508124577,76.47292993630573
22,0.6489628716638893,76.8312101910828
23,0.6217215106745434,78.38375796178345
24,0.5808149386363425,79.69745222929936
25,0.6110060649692632,79.89649681528662
26,0.5700050245045097,80.4140127388535
27,0.5449040446691452,82.00636942675159
28,0.4961575655041227,83.20063694267516
29,0.46305818561535733,83.71815286624204
30,0.4657006056825067,84.23566878980891
