epoch,train_loss,train_acc@1
1,3.962224668757931,1.7117834394904459
2,3.9229973881107987,1.7515923566878981
3,3.91316805219954,2.109872611464968
4,3.916280057020248,1.6719745222929936
5,3.91043444499848,1.910828025477707
