category,n,acc@1,acc@5
nuts,107,36.44859813084112,73.83177570093457
spices,98,64.28571428571429,98.9795918367347
herbs,98,39.795918367346935,78.57142857142857
fruits,99,31.313131313131315,65.65656565656566
vegetables,100,39.0,81.0
