aggregator,channel_set,file_acc@1,file_acc@5,file_confusion_matrix_path,file_macro_f1,file_macro_precision,file_macro_recall,file_per_category_accuracy_path,file_predictions_path,file_summary_metrics_path,g,model_family,run_id,stride,track,view_mode,window_acc@1,window_acc@5,window_macro_f1,window_size
mean_logits,extra6,50.0,84.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_logits/confusion_matrix.csv,41.696969696969695,38.86666666666666,50.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_logits/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_logits/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_logits/summary_metrics.json,25,cnn,m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854,50,moonshot-enhanced-setting,diff_extra6,42.03187250996016,79.4820717131474,38.23093231556686,100
mean_probabilities,extra6,50.0,84.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_probabilities/confusion_matrix.csv,41.96363636363636,39.533333333333324,50.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_probabilities/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_probabilities/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/mean_probabilities/summary_metrics.json,25,cnn,m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854,50,moonshot-enhanced-setting,diff_extra6,42.03187250996016,79.4820717131474,38.23093231556686,100
majority_vote,extra6,52.0,76.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/majority_vote/confusion_matrix.csv,45.4969696969697,43.36666666666666,52.0,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/majority_vote/per_category_accuracy.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/majority_vote/per_file_predictions.csv,/Users/jeremykalfus/CodingProjects/smelt/results/runs/m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854/file_level/majority_vote/summary_metrics.json,25,cnn,m01b_cnn_extra6_diff_fileagg-20260401-210235-c1d19854,50,moonshot-enhanced-setting,diff_extra6,42.03187250996016,79.4820717131474,38.23093231556686,100
