epoch,learning_rate,train_loss,train_acc@1,validation_window_acc@1,validation_window_f1,validation_file_acc@1,validation_file_f1,is_best
1,0.003,3.1010081524050657,15.449577744659711,19.839679358717436,15.864409657383813,30.0,19.577777777777776,true
2,0.002999503121214558,2.512622718602582,27.570789865871834,28.0561122244489,24.674843214518813,46.0,38.24444444444444,true
3,0.0029980128253941324,2.3480940598252396,31.892697466467958,26.65330661322645,24.90611759929399,50.0,44.696969696969695,true
4,0.002995530133913036,2.274332798362311,33.38301043219076,30.460921843687377,27.118184833626184,50.0,42.36363636363636,false
5,0.0029920567482839967,2.1751896245409705,35.91654247391952,28.45691382765531,25.926654345805105,40.0,32.26839826839827,false
6,0.0029875950489920257,2.1110383242561164,38.69846000993542,37.27454909819639,33.607503152881236,54.0,45.93506493506493,true
7,0.0029821480938629504,1.9685466926724415,44.063586686537505,33.26653306613226,29.269128592202286,48.0,39.69696969696969,false
8,0.0029757196159677347,1.9161015821817913,45.3551912568306,39.478957915831664,34.70580665405283,60.0,52.24444444444445,true
9,0.0029683140210640183,1.8318094845974084,46.74615002483855,39.078156312625254,36.25274075635777,57.99999999999999,50.24444444444443,false
10,0.0029599363845766308,1.7883792895910695,49.37903626428216,38.476953907815634,35.8358353147342,64.0,57.83030303030303,true
11,0.0029505924481191487,1.7567931943666977,50.76999503229011,41.68336673346693,39.80538358688901,57.99999999999999,48.24444444444444,false
12,0.0029402886155588796,1.694582410908077,52.80675608544461,42.28456913827655,40.65973925165537,60.0,54.36363636363637,false
13,0.0029290319486279725,1.6829794794543134,53.055141579731746,39.67935871743487,35.53577920785486,56.00000000000001,48.8,false
14,0.0029168301620836586,1.6576345774053165,53.75062096373572,42.08416833667334,38.61774152059757,62.0,55.111111111111114,false
15,0.002903691618420942,1.6507316644785124,53.60158966716344,39.478957915831664,36.31622701432939,56.00000000000001,49.36363636363636,false
16,0.0028896253221413655,1.5901564431320774,57.923497267759565,43.687374749499,41.37020880312709,60.0,53.11111111111111,false
17,0.002874640913581771,1.5959785506906523,56.48286140089419,41.08216432865731,38.66566151738595,54.0,47.696969696969695,false
18,0.002858748662307298,1.5462911569592495,59.16542473919523,38.877755511022045,35.825932631885586,56.00000000000001,47.36363636363636,false
19,0.002841959460073133,1.5492121505310923,58.22155986090412,43.08617234468938,40.16540453534125,56.00000000000001,49.03030303030303,false
20,0.0028242848133598493,1.5310431123668142,58.966716343765526,43.48697394789579,41.15958282138079,62.0,56.111111111111114,false
21,0.002805736835487436,1.5041097380661337,60.755091902632884,43.08617234468938,40.36300418677914,57.99999999999999,50.111111111111114,false
22,0.002786328238313433,1.4663563969712083,61.74863387978142,41.883767535070135,39.50942202459393,62.0,54.57777777777778,false
23,0.0027660723235208642,1.497389338055595,59.860904123199205,45.69138276553106,43.32767508332591,62.0,56.03030303030303,false
24,0.0027449829735019223,1.4815898549183648,61.351217088922006,42.48496993987976,39.75833792101866,62.0,55.36363636363636,false
25,0.0027230746418436735,1.4490162949033834,61.400894187779436,43.8877755511022,40.81297182921206,62.0,53.77777777777778,false
26,0.0027003623434222906,1.4391893010440302,63.63636363636363,43.28657314629258,41.189267890229914,64.0,61.0,false
27,0.0026768616441126074,1.432535149538274,62.84153005464481,43.687374749499,41.03942219564859,64.0,59.91111111111111,false
28,0.0026525886501200446,1.4091135429850397,64.77893691008445,45.09018036072144,42.79941174504972,70.0,65.36363636363636,true
29,0.0026275599969422213,1.4043049998266806,63.88474913065077,44.08817635270541,42.50294728848448,70.0,64.06666666666666,false
30,0.0026017928379678166,1.4004496049952044,65.17635370094386,43.8877755511022,41.61739667616358,62.0,54.44444444444444,false
31,0.0025753048327204937,1.3797569318132736,65.27570789865872,46.09218436873748,44.280587854386475,64.0,57.44444444444444,false
32,0.0025481141347559427,1.372445836803893,65.12667660208643,42.48496993987976,40.77146256833724,64.0,57.44444444444444,false
33,0.002520239379220344,1.353892202526553,66.31892697466468,45.69138276553106,44.870911769165915,66.0,62.066666666666656,false
34,0.002491699670078766,1.3430825600384837,66.66666666666667,44.08817635270541,43.030728635876905,62.0,56.06666666666666,false
35,0.0024625145670222636,1.3257632291678227,67.6602086438152,42.08416833667334,39.700798732284795,60.0,53.11111111111111,false
36,0.0024327040720626444,1.3065095137910232,67.70988574267263,43.48697394789579,41.75589688034566,57.99999999999999,49.77777777777777,false
37,0.0024022886158240856,1.3022056125729935,68.85245901639344,42.88577154308617,40.77472478878925,60.0,55.39999999999999,false
38,0.002371289043541007,1.2802485170141713,70.29309488325882,42.48496993987976,40.29279764091095,64.0,57.111111111111114,false
39,0.0023397266007717885,1.2942358330595392,68.55439642324889,44.28857715430862,42.95015169718494,60.0,54.11111111111111,false
40,0.002307622918838125,1.275673952318221,68.90213611525087,39.879759519038075,38.56312502333527,54.0,47.696969696969695,false
41,0.0022749999999999992,1.2706575329719463,69.59761549925484,43.687374749499,42.72808134405188,64.0,58.77777777777777,false
42,0.0022418802023764315,1.2665082753977843,70.29309488325882,45.29058116232465,42.793836274602185,66.0,60.11111111111111,false
43,0.002208286224622342,1.2481931910488775,71.23695976154993,46.09218436873748,43.37897782798985,57.99999999999999,51.733333333333334,false
44,0.002174241090372027,1.2472322980266748,70.88922006954793,45.49098196392786,43.328026661324515,57.99999999999999,52.36363636363636,false
45,0.0021397681324599096,1.2389639250034725,70.54148037754595,45.29058116232465,43.1040203448427,66.0,60.03030303030303,false
46,0.0021048909769293793,1.2315081593650405,71.83308494783904,44.28857715430862,43.383331605483136,57.99999999999999,50.111111111111114,false
47,0.0020696335268406848,1.2335887226487532,71.5846994535519,44.08817635270541,42.66629566511919,57.99999999999999,51.577777777777776,false
48,0.002034019945888967,1.2013134324485486,72.1311475409836,44.28857715430862,42.280184155316746,64.0,58.44444444444446,false
49,0.001998074641843673,1.210458626157303,72.1311475409836,44.68937875751503,42.638615828615826,60.0,54.11111111111111,false
50,0.0019618222498206874,1.2004530027738212,72.72727272727273,44.88977955911824,43.25737239329792,66.0,60.111111111111114,false
51,0.0019252876153986543,1.1995623936063309,72.03179334326876,44.48897795591182,42.62340931612791,62.0,56.06666666666666,false
52,0.0018884957775910623,1.1763602094868197,74.06855439642325,46.49298597194389,44.62511058350708,62.0,58.06666666666666,false
53,0.00185147195168575,1.1827985346169243,73.32339791356185,44.68937875751503,42.77590534423486,64.0,58.44444444444444,false
54,0.001814241511963613,1.1704495054421233,73.72081470442126,46.6933867735471,44.78623884262686,62.0,56.77777777777777,false
55,0.001776829974308334,1.1553303749183488,74.56532538499752,45.49098196392786,44.09135554581523,64.0,59.1111111111111,false
56,0.001739262978719074,1.1605529483727892,73.67113760556383,45.29058116232465,43.9407380281401,62.0,56.24444444444444,false
57,0.001701566271738097,1.1493334117009162,74.1679085941381,44.08817635270541,42.342028539504646,60.0,53.77777777777777,false
58,0.0016637656888053747,1.1584684857076162,74.66467958271237,44.88977955911824,42.77759947647119,66.0,60.111111111111114,false
59,0.0016258871365522679,1.1422396408522597,75.1117734724292,45.09018036072144,43.52064396292352,68.0,62.77777777777778,false
60,0.0015879565750464154,1.1412341859408177,74.9130650769995,42.28456913827655,41.02312093678817,60.0,55.111111111111114,false
61,0.0015499999999999997,1.141722813448501,74.7143566815698,43.48697394789579,41.576466461017446,54.0,48.44444444444444,false
62,0.0015120434249535836,1.1303119823462444,75.21112767014407,44.48897795591182,43.04430633760255,64.0,58.77777777777777,false
63,0.0014741128634477311,1.126149277336492,75.55886736214605,44.88977955911824,43.27537000099256,66.0,60.77777777777777,false
64,0.0014362343111946245,1.1058001634320156,76.55240933929458,44.08817635270541,42.807105837149564,57.99999999999999,53.444444444444436,false
65,0.0013984337282619023,1.1110015333557508,75.75757575757575,42.68537074148296,40.91901278910835,60.0,54.11111111111111,false
66,0.0013607370212809253,1.0889173617010026,77.19821162444113,46.893787575150306,45.671660247405576,62.0,56.111111111111114,false
67,0.001323170025691665,1.1041851801713545,76.25434674615002,46.49298597194389,44.60172808072661,66.0,61.77777777777778,false
68,0.0012857584880363862,1.0966250987060024,77.04918032786885,46.292585170340686,44.270918187021294,60.0,54.44444444444444,false
69,0.0012485280483142485,1.0871748715801968,76.70144063586686,45.09018036072144,43.913167248978695,60.0,54.77777777777777,false
70,0.001211504222408937,1.0788566876689534,77.59562841530055,45.09018036072144,42.80847989788089,60.0,54.77777777777778,false
71,0.0011747123846013448,1.0678588248163803,77.94336810730253,44.28857715430862,42.46442862263295,60.0,53.77777777777778,false
72,0.0011381777501793119,1.0609947255281922,77.44659711872826,43.8877755511022,42.629843405346165,62.0,55.44444444444444,false
73,0.0011019253581563261,1.0680210497979792,78.19175360158967,44.68937875751503,43.39547153165407,66.0,61.77777777777778,false
74,0.001065980054111032,1.069061962218647,77.84401390958767,45.69138276553106,43.92590303859654,62.0,57.111111111111114,false
75,0.0010303664731593145,1.046215608619779,78.58917039244908,43.687374749499,42.26752792638121,64.0,59.1111111111111,false
76,0.0009951090230706197,1.0583232930804507,78.04272230501739,45.49098196392786,43.41737304887123,60.0,53.444444444444436,false
77,0.0009602318675400898,1.0501666014548623,77.94336810730253,43.28657314629258,41.3424209767688,60.0,54.11111111111111,false
78,0.0009257589096279722,1.0642388454433467,78.04272230501739,43.8877755511022,41.2927624480633,60.0,53.444444444444436,false
79,0.000891713775377657,1.0539801602214354,78.34078489816194,44.48897795591182,42.526320834574655,66.0,61.77777777777778,false
80,0.0008581197976235675,1.0399289834694785,78.2414307004471,41.883767535070135,40.71086329366043,60.0,54.11111111111111,false
81,0.0008250000000000001,1.03925033665035,78.39046199701937,43.28657314629258,41.690063510321956,66.0,60.44444444444444,false
82,0.000792377081161874,1.0392054147052339,78.73820168902137,44.68937875751503,43.36369411387583,64.0,57.77777777777777,false
83,0.000760273399228211,1.0366647109367098,78.9865871833085,42.68537074148296,40.91035379884619,62.0,56.111111111111114,false
84,0.0007287109564589919,1.0466680364471375,78.53949329359165,43.48697394789579,41.68206901484732,66.0,61.77777777777778,false
85,0.000697711384175914,1.0304950890526865,78.83755588673621,45.49098196392786,44.03159353802073,62.0,56.57777777777777,false
86,0.0006672959279373549,1.0306722509049682,79.28464977645305,42.88577154308617,41.14117593798699,60.0,54.77777777777778,false
87,0.0006374854329777358,1.0129092211635682,79.68206656731248,44.08817635270541,42.16446047045589,66.0,60.44444444444444,false
88,0.0006083003299212338,1.0191542872491903,79.38400397416791,44.68937875751503,43.37287166691004,57.99999999999999,53.11111111111111,false
89,0.0005797606207796559,1.0123583378036165,80.22851465474416,44.08817635270541,42.56740436318441,64.0,59.1111111111111,false
90,0.0005518858652440564,1.0074848111328414,79.63238946845505,42.68537074148296,40.981726297629855,64.0,59.1111111111111,false
91,0.0005246951672795062,1.0121868045781302,80.02980625931446,42.48496993987976,40.615928876764784,57.99999999999999,51.44444444444445,false
92,0.0004982071620321828,1.0036094141314413,80.22851465474416,43.8877755511022,41.92973074879205,62.0,56.111111111111114,false
93,0.0004724400030577787,1.0083644027977634,79.13561847988078,44.08817635270541,42.29029711194066,62.0,55.77777777777778,false
