epoch,train_loss,train_acc@1
1,3.2215038272225933,14.769108280254777
2,2.4542256403880516,30.812101910828027
3,2.0996252883012128,39.53025477707006
4,1.836363982243143,46.93471337579618
5,1.6645331754805937,48.56687898089172
6,1.5308072627729672,53.781847133757964
7,1.4593998884699146,55.37420382165605
8,1.3581672641122418,58.9171974522293
9,1.30675091485309,59.03662420382165
10,1.2735515445660635,60.27070063694268
11,1.1958067455109518,62.5796178343949
12,1.155574734803218,63.495222929936304
13,1.1223092527146552,63.495222929936304
14,1.0980772702557267,64.171974522293
15,1.0282390201167695,67.15764331210191
16,1.037180218726966,66.60031847133757
17,0.9802226967113034,68.86942675159236
18,0.9654829323671426,68.9092356687898
19,0.9530049759870881,68.23248407643312
20,0.9357595686699934,70.38216560509554
21,0.901948019197792,70.30254777070064
22,0.8758273861210817,71.77547770700637
23,0.8750905519837786,70.82006369426752
24,0.8704538292186276,71.73566878980891
25,0.8435248770531575,73.20859872611464
26,0.7994272982238964,73.20859872611464
27,0.8222066703116059,73.68630573248407
28,0.7732350211234609,75.27866242038216
29,0.7847511817695229,73.60668789808918
30,0.7649583076215853,75.1592356687898
31,0.7499074134857032,75.27866242038216
32,0.7538731682832074,74.72133757961784
33,0.7405097484588623,75.43789808917198
34,0.7471918691495422,76.39331210191082
35,0.7357711416141243,76.35350318471338
36,0.7308165290553099,76.39331210191082
37,0.6933771630001676,77.7468152866242
38,0.7116122803870281,76.59235668789809
39,0.7051934896001391,77.03025477707007
40,0.6937370342054184,77.70700636942675
