category,n,acc@1,acc@5
nuts,107,47.66355140186916,85.04672897196261
spices,98,43.87755102040816,84.6938775510204
herbs,98,51.02040816326531,78.57142857142857
fruits,99,58.58585858585859,88.88888888888889
vegetables,100,37.0,80.0
