epoch,learning_rate,train_loss,validation_file_acc@1,validation_file_f1,is_best
1,0.002,3.8694698810577393,14.000000000000002,7.581818181818181,true
2,0.0019998120594700132,3.2087448501586913,48.0,37.599999999999994,true
3,0.001999248310334705,2.0671656131744385,62.0,54.79999999999999,true
4,0.0019983089699300983,1.4786332798004151,64.0,54.66666666666665,true
5,0.0019969944003898,1.1866835927963257,68.0,60.999999999999986,true
6,0.0019953051085053923,1.0569458723068237,76.0,69.33333333333333,true
7,0.0019932417455310538,0.8877547097206115,72.0,64.66666666666667,false
8,0.001990805106932488,0.8337991809844971,78.0,72.0,true
9,0.0019879961320802596,0.7759017515182495,76.0,70.0,false
10,0.001984815903887645,0.6869652199745179,74.0,68.0,false
11,0.0019812656483931502,0.6634921884536743,74.0,67.33333333333333,false
12,0.0019773467342878515,0.643303792476654,74.0,67.33333333333333,false
13,0.0019730606723877353,0.6054566335678101,78.0,72.0,false
14,0.001968409115051254,0.5712438488006591,76.0,69.33333333333333,false
15,0.001963393855542307,0.5514758634567261,70.0,63.33333333333333,false
16,0.0019580168273389048,0.5416874432563782,68.0,61.0,false
17,0.001952280103387776,0.5510290837287903,76.0,71.0,false
18,0.0019461858953052076,0.5339444065093994,72.0,64.66666666666666,false
19,0.0019397365525244234,0.5038026154041291,76.0,70.66666666666667,false
20,0.0019329345613898347,0.48803086519241334,78.0,73.33333333333333,true
21,0.0019257825441985057,0.47551448702812193,70.0,63.66666666666666,false
22,0.0019182832581892087,0.4747757661342621,76.0,69.33333333333333,false
23,0.0019104395944794556,0.46893626570701596,66.0,57.666666666666664,false
24,0.001902254576950917,0.46419020652771,76.0,68.66666666666666,false
25,0.0018937313610836598,0.46174187660217286,70.0,62.33333333333333,false
26,0.0018848732327396472,0.46143269300460815,70.0,62.999999999999986,false
27,0.0018756836068959783,0.45170470714569094,72.0,65.33333333333333,false
28,0.0018661660263283482,0.44454869866371155,74.0,66.66666666666666,false
29,0.001856324160245241,0.44615689039230344,74.0,67.33333333333333,false
30,0.0018461618028733804,0.4459321463108063,72.0,63.66666666666666,false
31,0.0018356828719949829,0.44534905552864074,76.0,68.99999999999999,false
32,0.001824891407437377,0.43873570919036864,80.0,74.66666666666666,true
33,0.001813791569515575,0.43042312502861024,74.0,66.66666666666666,false
34,0.0018023876374283908,0.4305331528186798,72.0,64.0,false
35,0.0017906840076087275,0.42950778365135195,76.0,69.66666666666666,false
36,0.0017786851920286698,0.42835242867469786,76.0,69.33333333333333,false
37,0.0017663958164600316,0.4275158643722534,70.0,62.0,false
38,0.0017538206186910332,0.4268810570240021,74.0,67.33333333333333,false
39,0.0017409644466997946,0.4313154101371765,76.0,68.99999999999999,false
40,0.001727832256785347,0.4328627789020538,74.0,67.33333333333333,false
41,0.0017144291116568849,0.4275887775421143,74.0,67.0,false
42,0.0017007601784819963,0.42243561387062073,72.0,65.33333333333333,false
43,0.0016868307268946194,0.4245633602142334,74.0,67.33333333333333,false
44,0.0016726461269635008,0.423713675737381,72.0,63.66666666666666,false
45,0.0016582118471219303,0.42264835715293886,76.0,69.33333333333333,false
46,0.0016435334520595553,0.42230330109596254,76.0,69.33333333333333,false
47,0.001628616600577089,0.4265399467945099,74.0,67.33333333333333,false
48,0.0016134670434047329,0.42426753640174864,74.0,66.66666666666666,false
49,0.0015980906209851623,0.4209302175045013,72.0,64.0,false
50,0.001582493261221923,0.4226713156700134,74.0,67.33333333333333,false
51,0.0015666809771941132,0.41902416467666626,74.0,66.66666666666666,false
52,0.0015506598648382264,0.41677188873291016,76.0,69.33333333333333,false
53,0.001534436100598051,0.4165243291854858,76.0,69.33333333333333,false
54,0.001518015939043536,0.4179920792579651,72.0,64.0,false
55,0.0015014057104595323,0.4181538605690002,72.0,64.33333333333333,false
56,0.0014846118184053487,0.4171727585792542,74.0,67.33333333333333,false
57,0.0014676407372460594,0.4152953898906708,74.0,67.33333333333333,false
58,0.00145049900965651,0.4153561282157898,72.0,64.0,false
59,0.0014331932440989938,0.41469104290008546,76.0,70.0,false
60,0.001415730112275564,0.4166387712955475,80.0,73.99999999999999,false
