category,n,acc@1,acc@5
nuts,107,38.31775700934579,81.30841121495327
spices,98,51.02040816326531,87.75510204081633
herbs,98,40.816326530612244,84.6938775510204
fruits,99,60.60606060606061,94.94949494949495
vegetables,100,53.0,88.0
