epoch,learning_rate,train_loss,train_acc@1,validation_window_acc@1,validation_window_f1,validation_primary_aggregator,validation_file_acc@1,validation_file_f1,is_best
1,0.002,3.9265787023486514,2.0367610531544957,3.006012024048096,0.3979478595350342,mean_logits,4.0,0.6,true
2,0.0019986637963857095,3.7363271057102376,3.974167908594138,3.807615230460922,0.5135437268896723,majority_vote,4.0,0.5930232558139534,false
3,0.0019946588479840665,3.523798241878231,4.818678589170393,5.410821643286573,0.9266001842441035,mean_probabilities,6.0,1.0873015873015872,true
4,0.0019879961320802596,3.310786618205723,7.898658718330849,8.41683366733467,3.1273131304442465,mean_logits,10.0,3.8797385620915033,true
5,0.001978693910715461,3.1159887866954925,9.985096870342772,7.615230460921844,2.3111505485205273,mean_logits,8.0,1.4444444444444444,false
6,0.001966777680631842,2.9565541289424755,11.127670144063586,12.224448897795591,6.145190720161032,mean_logits,16.0,6.715873015873015,true
7,0.0019522801033877754,2.8740758584378314,12.270243417784402,11.623246492985972,5.655893109552387,mean_logits,14.000000000000002,7.704761904761905,false
8,0.0019352409158347721,2.7898732593742936,12.91604570293095,14.02805611222445,7.007974219833465,mean_probabilities,18.0,8.719047619047618,true
9,0.0019157068212015363,2.699223630770604,15.350223546944859,15.831663326653306,9.830776970052423,mean_probabilities,20.0,11.41111111111111,true
10,0.0018937313610836591,2.619496334386713,17.43666169895678,13.627254509018035,7.9024583145197695,majority_vote,18.0,6.882539682539682,false
11,0.0018693747686898284,2.5701519534532196,18.97665176353701,18.03607214428858,11.226459762965007,mean_logits,28.000000000000004,17.66363636363636,true
12,0.001842703803746789,2.491074823705462,20.317933432687532,18.637274549098194,13.799474920204425,majority_vote,26.0,16.6,false
13,0.0018137915695155744,2.451221223500494,21.013412816691506,22.044088176352705,16.478900762458334,majority_vote,28.000000000000004,15.744444444444444,false
14,0.0017827173124205474,2.3770031542903562,22.702434177844015,18.236472945891784,13.958271778937123,mean_logits,24.0,16.37142857142857,false
15,0.00174956620484046,2.2956945935233692,25.93144560357675,26.65330661322645,21.03222182351857,mean_logits,30.0,22.93333333333333,true
16,0.0017144291116568846,2.2641446823749267,28.26626924987581,22.24448897795591,16.667024569109163,mean_logits,36.0,27.111111111111107,true
17,0.0016774023411998873,2.203547293548849,29.061102831594635,24.448897795591183,20.11690720764523,mean_logits,32.0,22.73333333333333,false
18,0.0016385873812735919,2.150272781435554,32.09140586189766,24.248496993987974,19.469641788687444,majority_vote,34.0,24.73333333333333,false
19,0.0015980906209851619,2.0825990420103193,34.12816691505216,24.448897795591183,21.171930151495687,mean_logits,28.000000000000004,22.0,false
20,0.0015560230591396519,2.012323872579962,35.91654247391952,26.452905811623246,22.679512920668635,mean_logits,36.0,26.400000000000002,false
21,0.0015125000000000006,1.9315108095184228,38.599105812220564,29.659318637274552,26.65337801204977,mean_probabilities,44.0,31.704761904761895,true
22,0.0014676407372460586,1.918123424734219,39.39393939393939,24.04809619238477,21.36849479027026,mean_logits,34.0,25.666666666666664,false
23,0.0014215682269989058,1.8939544928352217,41.92747143566816,29.458917835671343,26.868913730932515,mean_probabilities,50.0,41.03809523809524,true
24,0.0013744087508066685,1.7745180933616438,46.497764530551414,29.058116232464933,26.95695444114866,mean_probabilities,46.0,38.666666666666664,false
25,0.0013262915695155743,1.7470452919328503,47.143566815697966,29.458917835671343,26.376145194201463,mean_logits,44.0,35.133333333333326,false
26,0.0012773485689749583,1.6757646452652182,49.42871336313959,28.65731462925852,27.426217984584277,mean_probabilities,56.00000000000001,49.266666666666666,true
27,0.0012277138985473156,1.597414481479969,51.465474416294086,33.26653306613226,31.74293265994451,mean_probabilities,54.0,44.800000000000004,false
28,0.0011775236034142255,1.5554155579740825,54.24739195230998,34.2685370741483,33.877966505898094,mean_probabilities,54.0,46.46666666666666,false
29,0.0011269152516859625,1.4887580998904422,57.27769498261301,36.27254509018036,35.39042815388637,mean_probabilities,57.99999999999999,52.13333333333333,true
30,0.0010760275573368705,1.4300398719707532,59.56284153005465,33.66733466933868,31.78831939332668,mean_logits,50.0,43.800000000000004,false
31,0.0010250000000000005,1.3969782670812707,61.798310978638845,38.276553106212425,36.59082121202024,mean_logits,52.0,45.133333333333326,false
32,0.0009739724426631303,1.3336346478706205,64.28216592151018,33.46693386773547,32.80199575603457,mean_probabilities,48.0,40.93333333333334,false
33,0.0009230847483140384,1.2848911633612323,66.51763537009438,38.476953907815634,37.12763900545437,majority_vote,48.0,40.8,false
34,0.0008724763965857752,1.2414698132341084,68.35568802781917,36.07214428857716,34.89062372937714,mean_logits,54.0,46.8,false
35,0.0008222861014526849,1.1907980554564581,70.83954297069052,40.88176352705411,39.6780923708444,majority_vote,56.00000000000001,50.8,false
36,0.0007726514310250427,1.112313325880063,72.72727272727273,38.476953907815634,37.357843694265696,mean_probabilities,52.0,42.266666666666666,false
37,0.0007237084304844266,1.1048845343487925,74.56532538499752,38.476953907815634,38.36751371896277,mean_probabilities,57.99999999999999,52.99999999999999,true
38,0.0006755912491933325,1.0329690737565596,77.6949826130154,40.88176352705411,39.41448286979316,mean_probabilities,60.0,53.99999999999999,true
39,0.0006284317730010952,0.9888276676011216,80.17883755588673,41.48296593186373,40.80260404377782,mean_probabilities,68.0,61.999999999999986,true
40,0.0005823592627539422,0.9474722286746446,82.76204669647292,39.078156312625254,39.30917400811599,mean_probabilities,62.0,56.46666666666667,false
41,0.0005375000000000004,0.9277261162183206,82.56333830104322,36.27254509018036,35.86123080525557,mean_probabilities,57.99999999999999,50.46666666666666,false
42,0.0004939769408603491,0.8705420193243429,85.14654744162941,41.28256513026052,40.056877578337506,mean_probabilities,62.0,54.46666666666666,false
43,0.00045190937901483895,0.84004796398142,86.04073522106309,40.6813627254509,39.69133664329518,mean_probabilities,66.0,59.8,false
44,0.0004114126187264088,0.7995132482946067,88.67362146050671,40.08016032064128,39.0777882175824,mean_probabilities,64.0,57.666666666666664,false
45,0.0003725976588001137,0.7772224721065281,89.46845504222553,40.08016032064128,38.92084046170604,majority_vote,64.0,56.8,false
46,0.00033557088834311634,0.7334167432027022,91.2568306010929,40.28056112224449,39.510449983637834,mean_probabilities,64.0,59.0,false
47,0.00030043379515954093,0.7134963034458321,92.10134128166915,39.67935871743487,38.92973521445725,mean_probabilities,60.0,53.333333333333336,false
48,0.0002672826875794535,0.6766780332078759,93.88971684053651,40.88176352705411,40.46549574653222,mean_probabilities,72.0,65.0,true
49,0.0002362084304844264,0.6644681228433031,94.33681073025335,38.476953907815634,38.20598453966775,mean_probabilities,60.0,55.00000000000001,false
50,0.0002072961962532117,0.6392805332339231,95.62841530054645,41.68336673346693,41.32063332219746,mean_probabilities,72.0,64.33333333333333,false
51,0.00018062523131017228,0.6237796229979794,96.22454048683556,38.877755511022045,38.28432118426734,mean_probabilities,68.0,61.33333333333334,false
52,0.00015626863891634143,0.6113200505396885,96.37357178340785,39.879759519038075,39.01638630450695,mean_probabilities,64.0,57.33333333333333,false
53,0.00013429317879846405,0.5970157408856421,96.96969696969697,39.67935871743487,39.323481788249595,mean_probabilities,68.0,62.33333333333333,false
54,0.00011475908416522831,0.585005917776537,97.7645305514158,39.67935871743487,39.167431017554854,mean_probabilities,64.0,60.0,false
55,9.771989661222532e-05,0.5769274842958219,97.81420765027322,39.879759519038075,39.164166543045404,mean_probabilities,68.0,61.66666666666667,false
56,8.322231936815841e-05,0.566998783149236,98.06259314456035,40.08016032064128,39.429689086494754,mean_probabilities,66.0,59.333333333333336,false
57,7.130608928453946e-05,0.5617491999965843,98.41033283656235,39.478957915831664,38.99874819621599,mean_probabilities,68.0,63.0,false
58,6.200386791974079e-05,0.5496378218837479,98.70839542970691,39.278557114228455,38.82394542461173,mean_probabilities,70.0,64.33333333333333,false
59,5.534115201593344e-05,0.5529784543325933,98.65871833084948,38.877755511022045,38.44942109739637,mean_probabilities,72.0,64.66666666666666,false
60,5.133620361429052e-05,0.5487214536496318,98.90710382513662,38.877755511022045,38.69690654200548,mean_probabilities,64.0,58.8,false
