epoch,learning_rate,train_loss,validation_file_acc@1,validation_file_f1,is_best
1,0.002,3.878543481826782,26.0,18.981818181818184,true
2,0.0019998120594700132,3.2795124149322508,48.0,35.06666666666666,true
3,0.001999248310334705,2.0983453750610352,46.0,38.666666666666664,false
4,0.0019983089699300983,1.5795530652999878,60.0,52.0,true
5,0.0019969944003898,1.274633708000183,78.0,71.99999999999999,true
6,0.0019953051085053923,0.9791310453414916,68.0,60.33333333333333,false
7,0.0019932417455310538,0.9011159181594849,72.0,64.66666666666666,false
8,0.001990805106932488,0.7586931371688843,76.0,71.33333333333333,false
9,0.0019879961320802596,0.7092272424697876,74.0,67.66666666666666,false
10,0.001984815903887645,0.6873862743377686,66.0,59.333333333333336,false
11,0.0019812656483931502,0.6453635358810424,76.0,69.0,false
12,0.0019773467342878515,0.6208533906936645,74.0,67.66666666666666,false
13,0.0019730606723877353,0.5656296801567078,80.0,74.0,true
14,0.001968409115051254,0.5626358842849731,76.0,71.66666666666666,false
15,0.001963393855542307,0.5266708731651306,72.0,65.66666666666666,false
16,0.0019580168273389048,0.5140055537223815,80.0,74.66666666666666,true
17,0.001952280103387776,0.5144711613655091,76.0,70.0,false
18,0.0019461858953052076,0.490032331943512,72.0,65.33333333333333,false
19,0.0019397365525244234,0.48230279922485353,76.0,70.66666666666666,false
20,0.0019329345613898347,0.4718395745754242,76.0,68.66666666666666,false
21,0.0019257825441985057,0.46216812372207644,74.0,68.0,false
22,0.0019182832581892087,0.4589654541015625,78.0,72.66666666666666,false
23,0.0019104395944794556,0.45290977716445924,78.0,71.33333333333333,false
24,0.001902254576950917,0.45408795356750487,72.0,65.99999999999999,false
25,0.0018937313610836598,0.45150347948074343,80.0,74.33333333333333,false
26,0.0018848732327396472,0.456724933385849,72.0,65.33333333333333,false
27,0.0018756836068959783,0.44967270612716675,78.0,71.66666666666666,false
28,0.0018661660263283482,0.4516219830513,76.0,68.66666666666666,false
29,0.001856324160245241,0.44729998588562014,72.0,65.0,false
30,0.0018461618028733804,0.4443730545043945,72.0,66.33333333333333,false
31,0.0018356828719949829,0.43569183588027954,74.0,66.99999999999999,false
32,0.001824891407437377,0.43782969236373903,76.0,70.33333333333333,false
33,0.001813791569515575,0.4323192036151886,74.0,67.66666666666666,false
34,0.0018023876374283908,0.4327591347694397,74.0,66.33333333333333,false
35,0.0017906840076087275,0.4334146738052368,80.0,74.33333333333333,false
36,0.0017786851920286698,0.4301309335231781,78.0,71.99999999999999,false
37,0.0017663958164600316,0.4314946889877319,76.0,69.66666666666666,false
38,0.0017538206186910332,0.4330728304386139,80.0,73.99999999999999,false
39,0.0017409644466997946,0.4282979214191437,78.0,72.33333333333333,false
40,0.001727832256785347,0.4278774905204773,78.0,71.99999999999999,false
41,0.0017144291116568849,0.42849324584007265,74.0,66.33333333333333,false
42,0.0017007601784819963,0.42982429027557373,78.0,71.99999999999999,false
43,0.0016868307268946194,0.4303090679645538,76.0,69.0,false
