epoch,train_loss,train_acc@1
1,3.8308863685389234,2.3487261146496814
2,3.7239731162976306,4.179936305732484
3,3.6063788164952757,5.453821656050955
4,3.4663794572186317,7.32484076433121
5,3.299182460566235,8.797770700636942
6,3.2181466931750062,9.952229299363058
7,3.1419340440422108,11.464968152866241
8,3.0687157454764007,11.504777070063694
9,2.9967858624306456,13.654458598726114
10,2.9044907518253207,13.694267515923567
11,2.8389457046605977,14.848726114649681
12,2.7666743606518787,17.15764331210191
13,2.64098989887602,19.30732484076433
14,2.6013568753649476,21.855095541401273
15,2.512567050897392,22.969745222929937
16,2.4284043585418895,26.552547770700638
17,2.3480916949594097,28.821656050955415
18,2.303760725981111,29.578025477707005
19,2.2503366288106155,31.409235668789808
20,2.1637708320739164,33.39968152866242
21,2.075607226912383,36.345541401273884
22,2.0386382113596437,36.146496815286625
23,1.9984009630361181,38.61464968152866
24,1.8613835520045772,41.0828025477707
25,1.75769558226227,42.794585987261144
26,1.77907245478053,43.94904458598726
27,1.7608384114162179,43.988853503184714
28,1.64892123762969,46.81528662420382
29,1.6200150365282775,48.1687898089172
30,1.5479796403532575,50.67675159235669
