epoch,train_loss,train_acc@1
1,3.513509206711107,4.81687898089172
2,2.8330714505189545,12.261146496815286
3,2.4454004263422293,18.312101910828027
4,2.1468170068825887,25.55732484076433
5,1.9154169437991586,30.37420382165605
6,1.7260675445483749,36.38535031847134
7,1.5720495160218257,41.40127388535032
8,1.388788202006346,47.92993630573248
9,1.2879772277394677,51.19426751592356
10,1.213021154616289,54.339171974522294
11,1.1591423575285893,56.488853503184714
12,1.0822036402999975,59.87261146496815
13,1.0274691839886319,61.504777070063696
14,0.9724372131809308,64.01273885350318
15,0.9033767269675139,65.48566878980891
16,0.8356341973991152,69.18789808917198
17,0.8027613819784419,71.01910828025478
18,0.8330246863091827,68.15286624203821
19,0.7727547360073989,73.20859872611464
20,0.7002483002699105,74.68152866242038
21,0.6466896598506126,77.26910828025478
22,0.6491349157254407,75.8359872611465
23,0.5786557854360835,79.14012738853503
24,0.5477393554274443,80.01592356687898
25,0.5530361033928622,80.61305732484077
26,0.4676946540167377,83.79777070063695
27,0.4638633707146736,83.12101910828025
28,0.42119800152292675,84.15605095541402
29,0.43179027290101263,84.31528662420382
30,0.42690255497671237,84.67356687898089
