category,n,acc@1,acc@5
nuts,107,47.66355140186916,88.78504672897196
spices,98,48.97959183673469,81.63265306122449
herbs,98,33.6734693877551,66.3265306122449
fruits,99,54.54545454545454,79.7979797979798
vegetables,100,38.0,76.0
