epoch,learning_rate,train_loss,validation_file_acc@1,validation_file_f1,is_best
1,0.002,3.875057592391968,24.0,14.67132867132867,true
2,0.0019998120594700132,3.2176624870300294,36.0,26.23333333333333,true
3,0.001999248310334705,2.212297239303589,64.0,54.46666666666666,true
4,0.0019983089699300983,1.5459814882278442,57.99999999999999,50.0,false
5,0.0019969944003898,1.2489119482040405,62.0,54.0,false
6,0.0019953051085053923,1.0433475756645203,66.0,57.133333333333326,true
7,0.0019932417455310538,0.9215062284469604,70.0,62.133333333333326,true
8,0.001990805106932488,0.7844367218017578,68.0,60.333333333333336,false
9,0.0019879961320802596,0.80130464553833,66.0,59.0,false
10,0.001984815903887645,0.7662950706481934,70.0,61.33333333333333,false
11,0.0019812656483931502,0.7161457920074463,76.0,70.0,true
12,0.0019773467342878515,0.6208251333236694,72.0,65.33333333333333,false
13,0.0019730606723877353,0.6521475315093994,72.0,65.99999999999999,false
14,0.001968409115051254,0.5933775520324707,78.0,71.66666666666666,true
15,0.001963393855542307,0.5684604787826538,66.0,57.8,false
16,0.0019580168273389048,0.5329117798805236,76.0,69.0,false
17,0.001952280103387776,0.51823322057724,76.0,69.66666666666666,false
18,0.0019461858953052076,0.48717589378356935,76.0,70.0,false
19,0.0019397365525244234,0.4885387194156647,72.0,63.66666666666666,false
20,0.0019329345613898347,0.483584885597229,72.0,63.99999999999999,false
21,0.0019257825441985057,0.47437277555465696,72.0,63.99999999999999,false
22,0.0019182832581892087,0.47042507529258726,76.0,69.66666666666666,false
23,0.0019104395944794556,0.4621745657920837,76.0,69.66666666666666,false
24,0.001902254576950917,0.4521217095851898,74.0,67.66666666666666,false
25,0.0018937313610836598,0.45021566390991213,74.0,67.66666666666666,false
26,0.0018848732327396472,0.44898095846176145,80.0,74.0,true
27,0.0018756836068959783,0.4516229867935181,72.0,65.0,false
28,0.0018661660263283482,0.4526312232017517,78.0,73.0,false
29,0.001856324160245241,0.44079989671707154,76.0,69.66666666666666,false
30,0.0018461618028733804,0.4426578402519226,78.0,71.66666666666666,false
31,0.0018356828719949829,0.4386097240447998,76.0,71.0,false
32,0.001824891407437377,0.4397610664367676,76.0,69.0,false
33,0.001813791569515575,0.4430216348171234,74.0,67.66666666666666,false
34,0.0018023876374283908,0.4432491588592529,76.0,68.66666666666666,false
35,0.0017906840076087275,0.443177570104599,76.0,68.99999999999999,false
36,0.0017786851920286698,0.44940541505813597,78.0,72.33333333333333,false
37,0.0017663958164600316,0.4364094948768616,78.0,72.33333333333333,false
38,0.0017538206186910332,0.4371440923213959,72.0,64.66666666666666,false
39,0.0017409644466997946,0.4383232367038727,76.0,69.66666666666666,false
40,0.001727832256785347,0.43158880710601805,74.0,66.99999999999999,false
41,0.0017144291116568849,0.436488573551178,76.0,70.0,false
42,0.0017007601784819963,0.42608475804328916,74.0,67.66666666666666,false
43,0.0016868307268946194,0.4227653443813324,80.0,75.0,true
44,0.0016726461269635008,0.42394850969314574,74.0,67.66666666666666,false
45,0.0016582118471219303,0.4227179789543152,78.0,72.0,false
46,0.0016435334520595553,0.42454682230949403,76.0,70.0,false
47,0.001628616600577089,0.4231241750717163,74.0,66.66666666666666,false
48,0.0016134670434047329,0.4214193344116211,80.0,74.66666666666666,false
49,0.0015980906209851623,0.4222005534172058,78.0,72.0,false
50,0.001582493261221923,0.4190162181854248,80.0,74.66666666666666,false
51,0.0015666809771941132,0.4188168251514435,80.0,74.66666666666666,false
52,0.0015506598648382264,0.41606892108917237,78.0,72.66666666666666,false
53,0.001534436100598051,0.42006757140159606,76.0,69.33333333333333,false
54,0.001518015939043536,0.4154070258140564,76.0,69.33333333333333,false
55,0.0015014057104595323,0.41852755308151246,74.0,68.33333333333333,false
56,0.0014846118184053487,0.41652679681777954,78.0,72.0,false
57,0.0014676407372460594,0.4172742223739624,70.0,61.999999999999986,false
58,0.00145049900965651,0.41435443043708803,76.0,70.0,false
59,0.0014331932440989938,0.4145572543144226,80.0,75.0,false
60,0.001415730112275564,0.41342132329940795,78.0,72.0,false
61,0.001398116346555964,0.41266655921936035,76.0,70.0,false
62,0.0013803587373821722,0.41315115690231324,76.0,70.66666666666666,false
63,0.001362464130650557,0.4156887567043304,78.0,72.66666666666666,false
64,0.0013444394250726524,0.4145360422134399,78.0,72.0,false
65,0.0013262915695155752,0.4169282567501068,76.0,70.0,false
66,0.0013080275603231024,0.41532978773117063,78.0,72.0,false
67,0.0012896544386184487,0.41329310774803163,78.0,72.0,false
68,0.0012711792875897807,0.41509149432182313,78.0,72.66666666666666,false
69,0.0012526092297595094,0.4141463851928711,82.0,78.0,true
70,0.001233951424238426,0.4121712005138397,80.0,75.33333333333333,false
71,0.0012152130639657265,0.4073062491416931,80.0,75.33333333333333,false
72,0.001196401372935997,0.4104491627216339,78.0,72.66666666666666,false
73,0.0011775236034142266,0.41083473324775693,80.0,75.33333333333333,false
74,0.0011585870331399203,0.4114105749130249,78.0,72.66666666666666,false
75,0.001139598962521393,0.41157111048698425,80.0,74.66666666666666,false
76,0.001120566711821323,0.4108666229248047,78.0,72.66666666666666,false
77,0.00110149761833465,0.41368186712265015,76.0,70.66666666666666,false
78,0.0010823990335599104,0.41221451878547666,78.0,72.0,false
79,0.0010632783203650931,0.4092463910579681,78.0,72.66666666666666,false
80,0.0010441428501491137,0.409267213344574,78.0,72.66666666666666,false
81,0.0010250000000000012,0.4111605715751648,78.0,72.0,false
82,0.0010058571498508886,0.4136324334144592,78.0,73.33333333333333,false
83,0.0009867216796349094,0.41062817454338074,82.0,78.0,false
84,0.0009676009664400916,0.4084972405433655,82.0,78.0,false
85,0.0009485023816653523,0.4087346029281616,78.0,72.66666666666666,false
86,0.0009294332881786793,0.4103390622138977,80.0,75.33333333333333,false
87,0.0009104010374786093,0.406593291759491,80.0,75.33333333333333,false
88,0.0008914129668600823,0.40919623970985414,78.0,72.66666666666666,false
89,0.000872476396585776,0.4057521915435791,76.0,70.0,false
90,0.0008535986270640051,0.40599717020988463,76.0,70.0,false
91,0.0008347869360342757,0.40751576781272886,78.0,72.66666666666666,false
92,0.0008160485757615763,0.4080547022819519,80.0,75.33333333333333,false
93,0.000797390770240493,0.4074677014350891,82.0,78.0,false
94,0.0007788207124102218,0.408193793296814,80.0,75.33333333333333,false
95,0.0007603455613815531,0.40568895936012267,78.0,72.0,false
96,0.0007419724396768998,0.406177693605423,78.0,72.0,false
97,0.0007237084304844271,0.40641294479370116,76.0,70.0,false
98,0.0007055605749273497,0.40789424777030947,80.0,75.33333333333333,false
99,0.0006875358693494453,0.40895181059837343,76.0,70.0,false
100,0.0006696412626178297,0.40696689128875735,78.0,72.66666666666666,false
101,0.0006518836534440382,0.40732831358909605,80.0,75.33333333333333,false
102,0.0006342698877244381,0.40501960754394534,76.0,69.33333333333333,false
103,0.0006168067559010085,0.4066233491897583,78.0,72.0,false
104,0.0005995009903434921,0.4055752992630005,80.0,75.33333333333333,false
105,0.0005823592627539424,0.4067125511169434,78.0,73.33333333333333,false
106,0.0005653881815946527,0.40389527797698976,78.0,72.66666666666666,false
107,0.0005485942895404693,0.4043579280376434,80.0,75.33333333333333,false
108,0.0005319840609564656,0.4040782594680786,82.0,78.0,false
109,0.0005155638994019503,0.4067768704891205,78.0,72.66666666666666,false
110,0.0004993401351617755,0.40459689140319827,78.0,72.66666666666666,false
111,0.00048331902280588794,0.4039193141460419,80.0,75.33333333333333,false
112,0.00046750673877807845,0.4048407888412476,80.0,75.33333333333333,false
113,0.0004519093790148391,0.4030319154262543,80.0,75.33333333333333,false
114,0.00043653295659526817,0.4038967537879944,82.0,78.0,false
115,0.0004213833994229124,0.4045447337627411,82.0,78.0,false
116,0.0004064665479404457,0.4030166852474213,82.0,78.0,false
117,0.00039178815287807127,0.4042797136306763,80.0,76.0,false
118,0.00037735387303650055,0.4038985705375671,82.0,78.0,false
119,0.0003631692731053822,0.4046417498588562,82.0,78.0,false
120,0.00034923982151800536,0.40347170948982236,80.0,75.33333333333333,false
121,0.00033557088834311645,0.405211797952652,80.0,75.33333333333333,false
122,0.00032216774321465436,0.40482522249221803,80.0,75.33333333333333,false
123,0.0003090355533002068,0.4029891586303711,80.0,75.33333333333333,false
124,0.00029617938130896854,0.4035021436214447,80.0,75.33333333333333,false
125,0.0002836041835399702,0.4058482754230499,80.0,75.33333333333333,false
126,0.00027131480797133197,0.4050586473941803,80.0,75.33333333333333,false
127,0.0002593159923912738,0.4022380876541138,82.0,78.0,false
128,0.0002476123625716109,0.40444582581520083,82.0,78.0,false
129,0.00023620843048442655,0.4036706447601318,80.0,75.33333333333333,false
130,0.00022510859256262444,0.40273942589759826,80.0,75.33333333333333,false
131,0.00021431712800501878,0.403173052072525,78.0,72.66666666666666,false
132,0.00020383819712662066,0.40415817618370053,78.0,72.66666666666666,false
133,0.00019367583975476025,0.4013079237937927,80.0,75.33333333333333,false
134,0.00018383397367165307,0.40393502354621885,80.0,75.33333333333333,false
135,0.00017431639310402306,0.40267598390579223,82.0,78.0,false
136,0.00016512676726035402,0.40342279672622683,82.0,78.0,false
137,0.0001562686389163415,0.4025619387626648,82.0,78.0,false
138,0.00014774542304908412,0.4020544219017029,82.0,78.0,false
139,0.00013956040552054577,0.401590313911438,82.0,78.0,false
140,0.00013171674181079265,0.40032501339912413,82.0,78.0,false
141,0.00012421745580149554,0.4024945306777954,82.0,78.0,false
142,0.00011706543861016673,0.40464831829071046,78.0,72.66666666666666,false
143,0.00011026344747557803,0.40179856538772585,80.0,75.33333333333333,false
144,0.0001038141046947941,0.40117448568344116,80.0,75.33333333333333,false
145,9.771989661222537e-05,0.4023846030235291,78.0,72.66666666666666,false
146,9.198317266109646e-05,0.40198933601379394,78.0,72.66666666666666,false
147,8.660614445769406e-05,0.4024195444583893,80.0,75.33333333333333,false
148,8.159088494874667e-05,0.40185063242912294,80.0,75.33333333333333,false
149,7.69393276122654e-05,0.40031996846199036,80.0,75.33333333333333,false
150,7.265326571214946e-05,0.40133477926254274,80.0,75.33333333333333,false
151,6.873435160685036e-05,0.402999347448349,80.0,75.33333333333333,false
152,6.518409611235572e-05,0.40274640679359436,80.0,75.33333333333333,false
153,6.20038679197408e-05,0.40381656169891356,80.0,75.33333333333333,false
154,5.91948930675122e-05,0.40121489882469175,80.0,75.33333333333333,false
155,5.675825446894688e-05,0.4006991147994995,78.0,72.66666666666666,false
156,5.469489149460811e-05,0.4020743727684021,78.0,72.66666666666666,false
157,5.300559961020024e-05,0.4031700253486633,80.0,75.33333333333333,false
158,5.169103006990208e-05,0.3997496747970581,80.0,75.33333333333333,false
159,5.075168966529518e-05,0.40109326362609865,80.0,75.33333333333333,false
160,5.0187940529986805e-05,0.40103968501091003,80.0,75.33333333333333,false
