epoch,train_loss,train_acc@1
1,3.2325658456205466,13.137032842582107
2,2.3968764300974597,28.23707059267648
3,1.8933987266930061,39.22234805587014
4,1.5460774244655524,48.773121932804834
5,1.3898651475679564,54.586636466591166
