epoch,learning_rate,train_loss,train_acc@1,validation_window_acc@1,validation_window_f1,validation_primary_aggregator,validation_file_acc@1,validation_file_f1,is_best
1,0.003,2.821113385907821,26.328862394436165,35.07014028056113,29.279221592650238,mean_logits,44.0,32.666666666666664,true
2,0.002999503121214558,1.9113034995941753,49.826130153999,40.28056112224449,33.93561233445514,mean_logits,48.0,39.46666666666667,true
3,0.0029980128253941324,1.677562494806194,55.58867362146051,45.69138276553106,41.33008516319499,mean_logits,60.0,50.46666666666666,true
4,0.002995530133913036,1.477456921377528,65.67312468951813,53.707414829659314,50.15385518421008,mean_probabilities,68.0,60.46666666666667,true
5,0.0029920567482839967,1.3695606779116514,68.00794833581719,55.91182364729459,54.94347172667,majority_vote,78.0,73.0,true
6,0.0029875950489920257,1.2889962647604338,71.08792846497765,57.91583166332666,55.91705174721591,mean_logits,76.0,71.8,false
7,0.0029821480938629504,1.2214156967813081,74.01887729756582,60.72144288577155,59.06726108179872,mean_logits,82.0,76.0,true
8,0.0029757196159677347,1.1871454783239237,74.81371087928466,57.71543086172345,55.434617976104036,majority_vote,68.0,60.466666666666654,false
9,0.0029683140210640183,1.141837350598509,78.19175360158967,55.11022044088176,51.89255751823079,mean_logits,68.0,59.0,false
10,0.0029599363845766308,1.0953056290560674,78.68852459016394,56.312625250501,54.36633900872161,mean_logits,78.0,72.99999999999999,false
11,0.0029505924481191487,1.0611765074362758,80.17883755588673,55.91182364729459,53.27750142923787,mean_logits,70.0,62.46666666666666,false
12,0.0029402886155588796,1.052533412032973,80.57625434674615,55.31062124248497,53.45775451935552,mean_logits,76.0,69.99999999999999,false
13,0.0029290319486279725,1.0080053786170229,81.86785891703924,59.118236472945895,58.157620920150364,mean_probabilities,72.0,66.33333333333333,false
14,0.0029168301620836586,0.9585214291291633,85.14654744162941,60.72144288577155,59.63646662798483,mean_probabilities,76.0,69.33333333333333,false
15,0.002903691618420942,0.9599588941236781,84.35171385991057,58.91783567134269,57.07047410631652,mean_logits,76.0,70.66666666666666,false
16,0.0028896253221413655,0.9295226134770673,85.74267262791852,59.719438877755515,57.66180131973837,mean_logits,80.0,74.66666666666667,false
17,0.002874640913581771,0.9165763103482265,85.69299552906111,53.707414829659314,50.12666994754328,mean_logits,66.0,59.0,false
18,0.002858748662307298,0.9243189871340798,85.09687034277198,63.126252505010015,61.19889580330391,mean_logits,80.0,74.33333333333333,false
19,0.002841959460073133,0.8715351028816651,87.58072528564333,60.52104208416834,58.413042918409154,mean_logits,86.0,82.33333333333333,true
20,0.0028242848133598493,0.8568776086143043,88.57426726279185,57.11422845691383,57.35272561530969,mean_logits,78.0,71.99999999999999,false
21,0.002805736835487436,0.8526415846209234,87.9284649776453,58.717434869739485,56.63375678847545,mean_logits,74.0,68.0,false
